5,0,1,43,"2024-02-09 09:40:30.172376"
6,0,1,43,"2024-02-09 09:42:34.372198"
7,0,18,1,"2024-02-09 10:06:09.495447"
8,0,18,1,"2024-02-09 10:06:54.349610"
9,0,18,1,"2024-02-09 10:07:30.374319"
10,0,4,1,"2024-02-09 10:09:57.912284"
11,0,4,1,"2024-02-09 10:19:33.656808"
12,0,16,43,"2024-02-09 10:19:36.815731"
13,0,4,1,"2024-02-09 10:20:05.552391"
14,0,4,1,"2024-02-09 10:20:58.060971"
15,0,4,1,"2024-02-09 10:22:25.986204"
16,0,16,43,"2024-02-09 10:23:40.683763"
17,0,13,1,"2024-02-09 10:25:07.028453"
18,0,16,43,"2024-02-09 10:25:55.909952"
19,0,4,1,"2024-02-09 10:26:25.969066"
20,0,13,1,"2024-02-09 10:26:36.596092"
21,0,4,1,"2024-02-09 10:27:09.535341"
22,0,13,1,"2024-02-09 10:27:28.471964"
23,0,16,43,"2024-02-09 10:27:53.667927"
24,0,4,1,"2024-02-09 10:27:54.162562"
25,0,4,1,"2024-02-09 10:28:10.217254"
26,0,16,43,"2024-02-09 10:28:21.616930"
27,0,13,1,"2024-02-09 10:28:42.277386"
28,0,16,43,"2024-02-09 10:28:58.510208"
29,0,16,43,"2024-02-09 10:29:42.204496"
30,0,13,1,"2024-02-09 10:29:42.631684"
31,0,1,1,"2024-02-09 10:29:59.709482"
32,0,4,1,"2024-02-09 10:30:48.829392"
33,0,14,1,"2024-02-09 10:30:59.003081"
34,0,13,1,"2024-02-09 10:32:41.622909"
35,0,13,1,"2024-02-09 10:32:45.536172"
36,0,1,1,"2024-02-09 10:33:27.453338"
37,0,4,1,"2024-02-09 10:34:47.827584"
38,0,16,43,"2024-02-09 10:35:45.710764"
39,0,4,1,"2024-02-09 10:36:43.860313"
40,0,16,43,"2024-02-09 10:37:44.845016"
41,0,16,43,"2024-02-09 10:38:19.511164"
42,0,13,1,"2024-02-09 10:38:46.390610"
43,0,16,43,"2024-02-09 10:39:40.542173"
